objectid;anlage;adresse;typ;gruppe;lng;lat
322;Volkshaus Innsbruck Sportanlage;Radetzkystraße 47;Tennisplatz;Tennis/Squash;11.4258569670001;47.270902504
323;Volkshaus Innsbruck Sportanlage;Radetzkystraße 47;Tennisplatz;Tennis/Squash;11.425647064;47.271165024
324;Volkshaus Innsbruck Sportanlage;Radetzkystraße 47;Tennisplatz;Tennis/Squash;11.425413233;47.2710902440001
325;Volkshaus Innsbruck Sportanlage;Radetzkystraße 47;Tennisplatz;Tennis/Squash;11.4252042430001;47.271023746
326;Volkshaus Innsbruck Sportanlage;Radetzkystraße 47;Tennisplatz;Tennis/Squash;11.4258715340001;47.2712442700001
327;Hallenbad Olympisches Dorf;Kugelfangweg 46;Hallenbad;Schwimmen;11.446984774;47.269449412
328;Spielplatz SOS - Kinderdorf;Hermann-Gmeiner-Straße 51;Sportplatz;Spielplatz;11.446448543;47.260432682
329;Skigebiet Nordpark;Höhenstraße 145;Skigebiet;Wintersport;11.379665803;47.3076071070001
330;Sportanlage BHAK/BHAS Innsbruck;Karl-Schönherr-Straße 2;Sportplatz;Spielplatz;11.400411154;47.276106687
331;Sportkegelbahn VS Fischerstraße;Franz-Fischer-Straße 38;Kegelbahn;Sporthalle;11.389326458;47.2587315390001
332;Sporthalle VS Fischerstraße;Franz-Fischer-Straße 38;Sporthalle;Sporthalle;11.3892098260001;47.2588708100001
333;Sportanlage Wiesengasse;Wiesengasse 60;Fußballplatz;Fußball/Football;11.414281177;47.2550371390001
334;Sportanlage Wiesengasse;Wiesengasse 60;Fußballplatz;Fußball/Football;11.4152111510001;47.255194998
335;Sportanlage Wiesengasse;Wiesengasse 60;Fußballplatz;Fußball/Football;11.416186258;47.2553232810001
336;Freibad Tivoli;Purtschellerstraße 1;Beachvolleyballplatz;Funsport;11.407587947;47.2597127080001
337;Freibad Tivoli;Purtschellerstraße 1;Beachvolleyballplatz;Funsport;11.4075475550001;47.2598363210001
338;Spielplatz Lodenareal;Lodenareal;Sportplatz;Spielplatz;11.419417733;47.2770329460001
339;Spielplatz Kirchmayrgasse;Kirchmayrgasse;Sportplatz;Spielplatz;11.4315380570001;47.259831751
340;Sporthalle VS Innere Stadt;Angerzellgasse 12;Sporthalle;Sporthalle;11.396121088;47.2681155930001
341;Sporthalle SPZ Schule am Inn;Hutterweg 1a;Sporthalle;Sporthalle;11.3818720370001;47.2645923260001
342;Sporthalle BRG in der Au;Bachlechnerstraße 35;Sporthalle;Sporthalle;11.37391287;47.2641261850001
